root	notebook	mention_type	mention
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_921_pmppn_info_dict_V2.pickle
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S921/S921.txt
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_PDB_Files
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_pssm_dir
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	dataset	S_2648
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	dataset	Ssym
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	artifact	20sets/Ssym.txt
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_PDB_Files
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Ssym_pssm_dir
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
