root_a	path_a	root_b	path_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.8017	0.9375	675	797	720
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	0.4291	0.9327	735	788	1660
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4266	0.9322	729	782	1656
git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4350	0.9319	753	808	1676
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.4268	0.9289	732	788	1659
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4226	0.9289	732	788	1676
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	0.4206	0.9246	723	1660	782
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.4200	0.9233	722	782	1659
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4159	0.9233	722	782	1676
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	ProteinMPNNTesting_V2.ipynb	0.7570	0.9213	726	897	788
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4209	0.9188	724	788	1656
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.4291	0.9171	741	1660	808
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.7765	0.9167	660	720	790
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.4285	0.9158	740	1659	808
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	0.7381	0.9118	713	897	782
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.4226	0.9059	732	1656	808
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.7451	0.9010	728	897	808
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	ProteinMPNNTesting_V4.ipynb	0.4928	0.8774	787	897	1487
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	ProteinMPNNTesting_V5.ipynb	0.4684	0.8763	786	897	1567
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.4373	0.8740	784	897	1680
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	ProteinMPNNTesting_V6.ipynb	0.4374	0.8729	783	897	1676
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.4342	0.8651	776	897	1666
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	0.4143	0.8350	749	897	1660
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.4122	0.8317	746	897	1659
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4083	0.8317	746	897	1676
git_sajid_additions	ProteinMPNNTesting.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4066	0.8227	738	897	1656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.6342	0.8140	534	656	720
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.5540	0.7904	426	539	656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.6424	0.7841	512	653	656
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.5247	0.7622	500	656	797
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.5047	0.7393	485	656	790
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.3917	0.6976	376	539	797
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2327	0.6971	435	1680	624
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2338	0.6955	434	1666	624
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2319	0.6939	433	1676	624
git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2313	0.6923	432	1676	624
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2331	0.6907	431	1656	624
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2327	0.6907	431	1659	624
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2326	0.6907	431	1660	624
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.4875	0.6891	450	653	720
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	0.4162	0.6865	370	539	720
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2414	0.6827	426	1567	624
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	proteinmpnn_quickdemo.ipynb	0.2476	0.6715	419	1487	624
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.3729	0.6698	361	539	790
