source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
docx	SA_CEM_9_26_2022	pdf	V1_PDF	6771	4264	6164	4206	49.58	72.66	0.0420
docx	SA_CEM_9_26_2022_MJ	docx	SA_9_20_2022	6776	6528	6153	5943	76.97	79.69	0.8147
docx	SA_CEM_9_26_2022_MJ	docx	SA_9_20_2022_Equation_Update_Attempt	6776	6565	6153	5980	78.60	80.87	0.8470
docx	SA_CEM_9_26_2022_MJ	docx	SA_9_21_2022	6776	6764	6153	6179	81.23	80.89	0.8463
docx	SA_CEM_9_26_2022_MJ	docx	SA_9_23_2022_CEM	6776	6771	6153	6164	93.86	93.69	0.9292
docx	SA_CEM_9_26_2022_MJ	docx	SA_CEM_9_26_2022	6776	6771	6153	6164	93.86	93.69	0.9292
docx	SA_CEM_9_26_2022_MJ	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6776	7182	6153	6231	99.41	98.17	0.9880
docx	SA_CEM_9_26_2022_MJ	docx	V1	6776	6109	6153	5602	70.47	77.40	0.8262
docx	SA_CEM_9_26_2022_MJ	docx	V1_CEM	6776	1855	6153	1835	18.74	62.83	0.0386
docx	SA_CEM_9_26_2022_MJ	docx	some_soul_wrenching_physics	6776	23834	6153	23028	0.00	0.00	0.0000
docx	SA_CEM_9_26_2022_MJ	pdf	SA_9_20_2022	6776	5932	6153	5866	71.70	75.21	0.0398
docx	SA_CEM_9_26_2022_MJ	pdf	SA_9_20_2022_CEM	6776	5932	6153	5866	71.70	75.21	0.0398
docx	SA_CEM_9_26_2022_MJ	pdf	SA_9_21_2022	6776	6160	6153	6094	75.05	75.78	0.0519
docx	SA_CEM_9_26_2022_MJ	pdf	SA_9_23_2022_CEM	6776	6141	6153	6077	83.41	84.45	0.0541
docx	SA_CEM_9_26_2022_MJ	pdf	SA_CEM_9_26_2022	6776	6139	6153	6075	86.49	87.60	0.0519
docx	SA_CEM_9_26_2022_MJ	pdf	V1_PDF	6776	4264	6153	4206	47.07	68.85	0.0367
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_9_20_2022	7182	6528	6231	5943	75.61	79.27	0.8100
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_9_20_2022_Equation_Update_Attempt	7182	6565	6231	5980	77.21	80.45	0.8422
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_9_21_2022	7182	6764	6231	6179	79.81	80.48	0.8416
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_9_23_2022_CEM	7182	6771	6231	6164	92.28	93.28	0.9196
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_CEM_9_26_2022	7182	6771	6231	6164	92.28	93.28	0.9196
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	SA_CEM_9_26_2022_MJ	7182	6776	6231	6153	98.17	99.41	0.9880
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	V1	7182	6109	6231	5602	69.35	77.13	0.8262
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	V1_CEM	7182	1855	6231	1835	18.50	62.83	0.0386
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	docx	some_soul_wrenching_physics	7182	23834	6231	23028	0.00	0.00	0.0000
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	SA_9_20_2022	7182	5932	6231	5866	70.69	75.09	0.0398
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	SA_9_20_2022_CEM	7182	5932	6231	5866	70.69	75.09	0.0398
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	SA_9_21_2022	7182	6160	6231	6094	74.00	75.66	0.0519
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	SA_9_23_2022_CEM	7182	6141	6231	6077	82.25	84.33	0.0541
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	SA_CEM_9_26_2022	7182	6139	6231	6075	85.30	87.49	0.0519
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	pdf	V1_PDF	7182	4264	6231	4206	46.36	68.69	0.0367
docx	V1	docx	SA_9_20_2022	6109	6528	5602	5943	97.05	91.49	0.9386
docx	V1	docx	SA_9_20_2022_Equation_Update_Attempt	6109	6565	5602	5980	96.64	90.54	0.9087
docx	V1	docx	SA_9_21_2022	6109	6764	5602	6179	96.52	87.51	0.9030
