notebook	mention_type	mention	cell_index
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_2648_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_669_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_921_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	Ssym_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S2648	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S669	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S921	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_921_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	Ssym_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Feature-Feature_Correlation.png	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	incremental_feature_result_dict.pickle	
