colab_notebook	git_notebook	same_filename	jaccard	containment_smaller	shared_tokens	colab_tokens	git_tokens
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4482	0.9744	762	782	1680
Ssym_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4482	0.9744	762	1680	782
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.9259	0.9740	787	829	808
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4956	0.9740	787	1567	808
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.4956	0.9740	787	808	1567
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4753	0.9735	807	829	1676
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4741	0.9735	807	829	1680
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4484	0.9731	761	782	1676
ProteinMPNNTesting_V6_V2_debug.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9403	0.9730	1622	1667	1680
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4567	0.9708	765	1652	788
ProteinMPNNTesting_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.4529	0.9708	765	788	1666
ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9208	0.9706	1617	1707	1666
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.8423	0.9697	1442	1667	1487
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9243	0.9696	1625	1707	1676
ProteinMPNNTesting_V6_V2_debug.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9389	0.9688	1614	1667	1666
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9244	0.9685	1627	1707	1680
Ssym_ProteinMPNNTesting_V6.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9267	0.9681	1606	1680	1659
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.8835	0.9681	1517	1667	1567
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9262	0.9675	1606	1680	1660
ProteinMPNNTesting_V7.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.3141	0.9671	529	547	1666
ProteinMPNNTesting_V7.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.3115	0.9671	529	547	1680
Ssym_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9321	0.9660	1619	1680	1676
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4607	0.9653	780	1665	808
Ssym_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9194	0.9650	1598	1680	1656
S669_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9300	0.9649	1594	1652	1656
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.8571	0.9643	1511	1707	1567
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4569	0.9641	779	808	1676
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.4711	0.9638	799	829	1666
Ssym_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9142	0.9637	1619	1710	1680
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.8137	0.9637	1433	1707	1487
S669_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9151	0.9634	1605	1693	1666
ProteinMPNNTesting_V7.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.3321	0.9634	527	547	1567
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9253	0.9627	1598	1665	1660
ProteinMPNNTesting_V6.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9225	0.9614	1595	1665	1659
S669_ProteinMPNNTesting_V6.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9205	0.9607	1587	1652	1659
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9200	0.9607	1587	1652	1660
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9115	0.9607	1587	1652	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.8988	0.9592	1598	1710	1666
ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9152	0.9583	1587	1665	1656
Ssym_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9022	0.9582	1606	1710	1676
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9135	0.9580	1595	1665	1676
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.8686	0.9572	1500	1567	1660
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.8595	0.9566	1499	1567	1676
