notebook_a	notebook_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V7.ipynb	0.2978	0.9287	508	1667	547
ProteinMPNNTesting_V6_V2_debug.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4348	0.9282	750	1667	808
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4328	0.9252	767	829	1710
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4079	0.9233	722	782	1710
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V2.ipynb	0.7570	0.9213	726	897	788
ProteinMPNNTesting_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4129	0.9201	725	788	1693
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4313	0.9168	760	829	1693
ProteinMPNNTesting.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.7381	0.9118	713	897	782
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V7.ipynb	0.3242	0.9104	498	1487	547
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V7.ipynb	0.2836	0.9104	498	1707	547
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4162	0.9097	735	1693	808
ProteinMPNNTesting.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.7451	0.9010	728	897	808
ProteinMPNNTesting_V7.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.2742	0.8812	482	547	1693
ProteinMPNNTesting_V7.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.2715	0.8812	482	547	1710
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V3.ipynb	0.7312	0.8794	729	897	829
Preparing_Fasta_Files_For_PROVEAN.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.0349	0.8788	58	66	1652
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V4.ipynb	0.4928	0.8774	787	897	1487
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V5.ipynb	0.4684	0.8763	786	897	1567
ProteinMPNNTesting.ipynb	ProteinMPNNTesting_V6.ipynb	0.4426	0.8763	786	897	1665
