pickle_file	run_index	metric_key	dataset	split	metric	metric_kind	feature_combo	value
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C+D+E	0.7607441059042376
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C+D+E+F	0.7883459969985759
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.7920634627943022
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.7942591927825278
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A	0.5676894455850988
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B	0.630843801883742
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C	0.6401478973353568
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D	0.6826793342012603
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E	0.730073123506242
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F	0.762912232127377
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.7662065410106582
list_incremental_feature_result_dict.pickle	0	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.7681675219476373
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A	0.5656560502344615
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B	0.6278558278660018
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C	0.6420601601949886
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D	0.6871788800152989
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E	0.7287951349497653
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F	0.7578210891696839
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.7660815427022288
list_incremental_feature_result_dict.pickle	0	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.7654974346077463
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A	1.7698690365982026
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B	1.6778974032376892
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C	1.6916150933687175
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C+D	1.62291101590908
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C+D+E	1.5585787012992305
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C+D+E+F	1.5037911779144053
list_incremental_feature_result_dict.pickle	0	S_921_total_RMSE	S_921	total	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1.4989141981742438
