artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
incremental_feature_result_dict.pickle	incremental_feature_result_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	historical_notebook_source_export	1271	commented	"# with open(""incremental_feature_result_dict.pickle"",""wb"") as f:"
incremental_feature_result_dict.pickle	incremental_feature_result_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	historical_notebook_source_export	1276	commented	"# with open(""incremental_feature_result_dict.pickle"",""rb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	535	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	540	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
S_669_pmppn_info_dict.pickle	S_669_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1933	commented	"# with open(""S_669_pmppn_info_dict.pickle"",""wb"") as f:"
S_669_pmppn_info_dict.pickle	S_669_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1938	commented	"# with open(""S_669_pmppn_info_dict.pickle"",""rb"") as f:"
S_669_pmppn_info_dict_V2.pickle	S_669_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1961	commented	"# with open(""S_669_pmppn_info_dict_V2.pickle"",""wb"") as f:"
S_669_pmppn_info_dict_V2.pickle	S_669_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1966	commented	"# with open(""S_669_pmppn_info_dict_V2.pickle"",""rb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	533	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	538	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
Ssym_pmppn_info_dict.pickle	Ssym_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1930	commented	"# with open(""Ssym_pmppn_info_dict.pickle"",""wb"") as f:"
