pickle_file	metric_key	dataset	split	metric	metric_kind	feature_combo	n	mean	sample_std	population_std	min	max	round_mean_2
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F	1	0.7591497992282864	0.0	0.0	0.7591497992282864	0.7591497992282864	0.76
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G	1	0.7644717173403515	0.0	0.0	0.7644717173403515	0.7644717173403515	0.76
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	1	0.7700132666249211	0.0	0.0	0.7700132666249211	0.7700132666249211	0.77
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A	1	1.7740558070656551	0.0	0.0	1.7740558070656551	1.7740558070656551	1.77
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B	1	1.6776872462391852	0.0	0.0	1.6776872462391852	1.6776872462391852	1.68
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C	1	1.6958442030620364	0.0	0.0	1.6958442030620364	1.6958442030620364	1.7
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D	1	1.6187489884273196	0.0	0.0	1.6187489884273196	1.6187489884273196	1.62
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E	1	1.5629940854045805	0.0	0.0	1.5629940854045805	1.5629940854045805	1.56
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F	1	1.508631677070172	0.0	0.0	1.508631677070172	1.508631677070172	1.51
incremental_feature_result_dict.pickle	S_921_reverse_RMSE	S_921	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1	1.501151944114728	0.0	0.0	1.501151944114728	1.501151944114728	1.5
